date,feature_index,NO2
2025-09-30T00:00:00.000Z,0,
2025-10-01T00:00:00.000Z,0,
2025-10-02T00:00:00.000Z,0,2.121500529028708E-5
2025-10-06T00:00:00.000Z,0,2.1846955405635526E-5
2025-10-04T00:00:00.000Z,0,2.1955814872853807E-5
2025-10-03T00:00:00.000Z,0,3.865614962705877E-5
2025-10-05T00:00:00.000Z,0,1.8010943070597325E-5
2025-09-29T00:00:00.000Z,0,1.794323543435894E-5
2026-01-03T00:00:00.000Z,0,
2026-01-04T00:00:00.000Z,0,2.0138517053662024E-5
2026-01-06T00:00:00.000Z,0,
2026-01-10T00:00:00.000Z,0,
2026-01-07T00:00:00.000Z,0,
2026-01-08T00:00:00.000Z,0,
2026-01-05T00:00:00.000Z,0,
2026-01-09T00:00:00.000Z,0,
2026-04-06T00:00:00.000Z,0,1.894531609044255E-5
2026-04-02T00:00:00.000Z,0,2.026296624535462E-5
2026-04-05T00:00:00.000Z,0,2.4916301754274173E-5
2026-04-04T00:00:00.000Z,0,
2026-04-08T00:00:00.000Z,0,
2026-04-01T00:00:00.000Z,0,2.251875957881566E-5
2026-04-03T00:00:00.000Z,0,1.7677212326816516E-5
2026-04-07T00:00:00.000Z,0,
2026-03-03T00:00:00.000Z,0,
2026-03-05T00:00:00.000Z,0,3.209102699959961E-5
2026-03-06T00:00:00.000Z,0,
2026-03-02T00:00:00.000Z,0,
2026-03-01T00:00:00.000Z,0,
2026-03-04T00:00:00.000Z,0,3.607913155671364E-5
2026-02-28T00:00:00.000Z,0,
2026-03-07T00:00:00.000Z,0,
2026-05-21T00:00:00.000Z,0,2.1899662897340022E-5
2026-05-19T00:00:00.000Z,0,4.254959640093148E-5
2026-05-23T00:00:00.000Z,0,4.413921669765841E-5
2026-05-25T00:00:00.000Z,0,6.666802801191807E-5
2026-05-26T00:00:00.000Z,0,3.7215487282082904E-5
2026-05-20T00:00:00.000Z,0,1.908474587253295E-5
2026-05-22T00:00:00.000Z,0,5.0781860409188084E-5
2026-05-24T00:00:00.000Z,0,4.416704541654326E-5
2026-08-10T00:00:00.000Z,0,3.7001349937781924E-5
2026-08-07T00:00:00.000Z,0,2.1662985545845004E-5
2026-08-09T00:00:00.000Z,0,2.2656509372609435E-5
2026-08-08T00:00:00.000Z,0,3.536629446898587E-5
2026-08-13T00:00:00.000Z,0,3.33592870447319E-5
2026-08-12T00:00:00.000Z,0,3.079478847212158E-5
2026-08-11T00:00:00.000Z,0,3.365391376064508E-5
2026-08-14T00:00:00.000Z,0,5.730134307668777E-5
2026-05-15T00:00:00.000Z,0,3.84943186872988E-5
2026-05-17T00:00:00.000Z,0,5.401234011515044E-5
2026-05-11T00:00:00.000Z,0,1.7102956036296746E-5
2026-05-16T00:00:00.000Z,0,4.3842113276089854E-5
